"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"05004";3932;"(AFOROS) Serrano, 50 N-S - Ayala-Hermosilla";"URB";"441685.593634683";"4475440.23893096"
"05005";3933;"Lopez de Hoyos, 21 E-O - Velazquez-Maria Molina";"URB";"441978.451690783";"4476658.83200754"
"05006";3934;"Concha Espina, 39 O-E - Pl, Sagrados Corazone-Serrano";"URB";"442059.01726871";"4478118.41003143"
"05007";3935;"Eduardo Dato O-E - Gta, Ruben Dario-Serrano";"URB";"441693.610525769";"4476042.99981082"
"05008";3936;"(AFOROS) Alcala O-E - Pl, Cibeles-Pl, Independencia";"URB";"441332.352916347";"4474550.09936159"
"05009";3937;"Serrano N-S - General Oraa-Diego de Leon";"URB";"441778.976128845";"4476398.41306417"
"05010";3938;"Serrano N-S - Maldonado-Juan Bravo";"URB";"441761.342445896";"4476148.15147567"
"05011";3939;"Serrano N-S - Villanueva-Pl, Independencia";"URB";"441598.138972006";"4474830.80364207"
"05012";3940;"Goya, 9 E-O - Serrano-P� Castellana";"URB";"441604.187975368";"4475214.85727885"
"05013";3941;"Serrano N-S - Pedro Valdivia-Maria Molina";"URB";"441804.807918529";"4476720.05946516"
"05014";3942;"Hermanos Becquer N-S - General Oraa-Serrano";"URB";"441702.945413007";"4476378.56741065"
"05015";3943;"Hermanos Becquer S-N - Serrano-General Oraa";"URB";"441717.489473088";"4476379.53863383"
"05016";3944;"Serrano, 84 N-S - Padilla-Jose Ortega y Gasset";"URB";"441741.179442749";"4475864.05103726"
"05017";3945;"Ayala E-O - Serrano-P� Castellana";"URB";"441671.385099568";"4475477.56936693"
"05018";3946;"Goya E-O - Claudio Coello -Serrano";"URB";"441747.387130317";"4475193.015491"
"05019";3798;"Alcala E-O - Lagasca-Claudio Coello";"URB";"441584.325458217";"4474716.88545759"
"05020";3697;"Alcala E-O - Lagasca-Pl, Independencia";"URB";"441793.888262671";"4474665.18373823"
"05021";3947;"Alfonso XII S-N - Montalban-Pl, Independencia";"URB";"441563.81764889";"4474366.70628363"
"05022";3948;"Maria Molina O-E - Claudio Coello-Lagasca";"URB";"441900.509108924";"4476562.73036861"
"05023";3578;"Serrano N-S - Goya-Jorge Juan";"URB";"441643.909062137";"4475160.03342175"
"05024";4223;"Jorge Juan O-E - P� Castellana-Serrano";"URB";"441513.800475242";"4475082.27485935"
"05025";10048;"Serrano 191 N-S - Turia - Cidacos";"URB";"442171.127444189";"4478021.06848233"
"05026";10050;"Serrano 206 S-N - Cinca - Turia";"URB";"442203.185772363";"4477926.21358583"
"05026";10049;"Serrano 206 S-N - Cinca - Turia";"URB";"442176.90795197";"4478016.4812432"
"05708";10018;"(AFOROS) Alcala O-E - Pl, Cibeles-Pl, Independencia";"URB";"441314.395393921";"4474549.15438347"
"05FT10PM01";1001;"05FT10PM01";"M30";"437146.022667131";"4473498.17235059"
"05FT37PM01";1002;"05FT37PM01";"M30";"436892.118105918";"4473311.64630953"
"05FT66PM01";1003;"05FT66PM01";"M30";"436630.102140068";"4473180.04984782"
"05TL00PM01";6904;"05TL00PM01";"M30";"444978.113804094";"4472393.81511846"
"05TL00PM02";6905;"05TL00PM02";"M30";"444971.723405319";"4472392.75013435"
"05TL00PM03";6906;"05TL00PM03";"M30";"444968.883213191";"4472388.48987732"
